default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
PFEMF0200203;CETIOL MM;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;15,07;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0200204;GLYCERINE 99,5%;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;1,85;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0200201;CUTINA CBS;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;10,5;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0200202;CUTINA CP;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;5,85;;VRAI;;;;;;Article stockable;;Texturants

PFATF0200201;CETIOL HE;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;7,24;;VRAI;;;;;;Article stockable;;Autres

PFATF0200202;COVI-OX T 70 C;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;145,35;;VRAI;;;;;;Article stockable;;Autres

PFATF0200203;DEHYTON K COS;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;2,90;;VRAI;;;;;;Article stockable;;Autres

PFATF0200204;EUMULGIN B25;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;5,80;;VRAI;;;;;;Article stockable;;Autres

PFATF0200205;EUMULGIN RO 40;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;6,30;;VRAI;;;;;;Article stockable;;Autres

PFATF0200206;GLUADIN WLM BENZ;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;28;;VRAI;;;;;;Article stockable;;Autres

PFATF0200207;LAMESOFT PO65;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;10,82;;VRAI;;;;;;Article stockable;;Autres

PFATF0200208;LUVISKOL K30 POUDRE;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;15;;VRAI;;;;;;Article stockable;;Autres

PFATF0200209;PLANTACARE 2000 UP;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;3,63;;VRAI;;;;;;Article stockable;;Autres

PFATF0200210;PLANTACARE 818 UP;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;5,44;;VRAI;;;;;;Article stockable;;Autres

PFATF0200211;PLANTAPON ACG 50;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;3,65;;VRAI;;;;;;Article stockable;;Autres

PFATF0200212;PLANTAPON LGC SORB;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;7,78;;VRAI;;;;;;Article stockable;;Autres

PFATF0200213;PLANTAPON SF;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;3,62;;VRAI;;;;;;Article stockable;;Autres

PFATF0200214;TEXAPON ALS BENZ;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;4,5;;VRAI;;;;;;Article stockable;;Autres

PFATF0200215;TINOSORB M;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;32;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFEMF0203001;BENZOATE DE C12/C15;All / Fournisseurs / Matières premières / Azelis;AZELIS;18,1;;VRAI;;;;;;Article stockable;;Emollients

PFATF0203001;DUB ZENOAT;All / Fournisseurs / Matières premières / Azelis;AZELIS;23,94;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

