default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
EMETC010511;Etiquette R°V°masque réparateur 40x70mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010512;Etiquette R°V° mousse nettoyante 50x70mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

EMETC010513;Etiquette R°V°energisant sérum 40x70mm;All / Clients France / B to B / HAM Distribution / Emballages / Etiquettes;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBTMTC010501;Boite Contour des Yeux;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010502;Boite Crème anti âge;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010503;Boite Crème hyaluronique;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010504;Boite Elixir fluide peau mixte;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010505;Boite Elixir homme;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010506;Boite Fluide hyaluronique;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010507;Boite Sérum énergisant;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010508;Boite Huile de pépins de Figue de Barbarrie;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010509;Boite Gommage visage;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

EMBTMTC010510;Boite Masque réparateur;All / Clients France / B to B / HAM Distribution / Emballages / Boites;HAM Distribution;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCPSC011001;Bouchons poussoir noir;All / Clients France / B to B / Tendances coiffure / Emballages / Bouchons / A pression;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCCPC011001;Capot cristal pompe blanc/argent;All / Clients France / B to B / Tendances coiffure / Emballages / Bouchons / Capot;Tendance coiffure;;;;;;;;;Article stockable;;

EMBCCPC011002;Capuchon transparent;All / Clients France / B to B / Tendances coiffure / Emballages / Bouchons / Capot;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPPATC011001;Pompe compte goutte verre 5ml;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Comptes gouttes;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011002;Pompe compte goutte verre 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Comptes gouttes;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011003;Pompe spray noir;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Spray;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011004;Pompe blanc/argent 15ml;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Crème;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011005;Pompe blanc/argent 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Crème;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011006;Pompe flacon noir elixir de barbe + capot cristal;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Huile;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011007;Pompe avec bec noir;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Crème;Tendance coiffure;;;;;;;;;Article stockable;;

EMPPATC011008;Pompe noir spray huile;All / Clients France / B to B / Tendances coiffure / Emballages / Pompes / Huile;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFLATC011001;Flacon verre ambré 5ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011002;Flacon verre ambré 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011003;Flacon noir 60ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Noir;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011004;Flacon ambré 150ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Ambré plastique;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011005;Flacon verre sérigraphié contour des yeux MB 15ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011006;Flacon verre dépoli 15ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011007;Flacon noir sérigraphié elixir de barbe 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011008;Flacon ambré 75ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Ambré plastique;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011009;Flacon verre dépoli 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011010;Flacon verre sérigraphié sérum visage MB 30ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Verre;Tendance coiffure;;;;;;;;;Article stockable;;

EMFLATC011011;Flacon ambré sérigraphié shampoing barbe MB 150ml;All / Clients France / B to B / Tendances coiffure / Emballages / Flacons / Ambré plastique;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPTALC011001;Pot alu gris 90ml D68;All / Clients France / B to B / Tendances coiffure / Emballages / Pots / Alu;Tendance coiffure;;;;;;;;;Article stockable;;

EMPTALC011002;Pot alu noir 90ml D75;All / Clients France / B to B / Tendances coiffure / Emballages / Pots / Alu;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPTPTC011001;Pot transparent PET 200ml D95;All / Clients France / B to B / Tendances coiffure / Emballages / Pots / PET;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMCVALC011001;Couvercle alu gris D68;All / Clients France / B to B / Tendances coiffure / Emballages / Couvercles / Alu;Tendance coiffure;;;;;;;;;Article stockable;;

EMCVALC011002;Couvercle alu noir D75;All / Clients France / B to B / Tendances coiffure / Emballages / Couvercles / Alu;Tendance coiffure;;;;;;;;;Article stockable;;

EMCVALC011003;Couvercle alu D103;All / Clients France / B to B / Tendances coiffure / Emballages / Couvercles / Alu;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMTBMTC011001;Tube crème tattoo 75ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Mat;Tendance coiffure;;;;;;;;;Article stockable;;

EMTBMTC011002;Tube gel après rasage 100ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Mat;Tendance coiffure;;;;;;;;;Article stockable;;

EMTBMTC011003;Tube gommage tatto 75ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Mat;Tendance coiffure;;;;;;;;;Article stockable;;

EMTBMTC011004;Tube gommage visage et corps 100ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Mat;Tendance coiffure;;;;;;;;;Article stockable;;

EMTBMTC011005;Tube gel de rasage 75ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Mat;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMTBBRC011001;Tube saingel 75ml;All / Clients France / B to B / Tendances coiffure / Emballages / Tubes / Brillant;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC0110101;Etiquettes R°V° accélérateur de pousse 40x70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110102;Etiquettes R°V° fluide purifiant barbe 50x100mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110103;Etiquette R° baume classique D60mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110104;Etiquette V° baume classique D55mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110105;Etiquette R° baume premium D60mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110106;Etiquette V° baume premium D55mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110107;Etiquette R° baume supreme D70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110108;Etiquette V° Baume supreme D65mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110109;Etiquettes R°V° gel de rasage 500ml 50x85mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110110;Etiquettes R°V° gel de rasage 75ml 40x90mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110111;Etiquettes R°V° huile de barbe classique 40x80mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110112;Etiquettes R°V° huile de barbe BIO 45x70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110113;Etiquettes R°V° huile de ricin BIO 40x48mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110114;Etiquette R° huile parfumée canne à sucre 30ml 40mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110115;Etiquette R° huile parfumée chocolat caramel 30ml 40mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110116;Etiquette R° huile parfumée sapin 30ml 40mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110117;Etiquette R° huile parfumée vanille mangue 30ml 40mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110118;Etiquettes R°V° mousse tattoo 50x75mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110119;Etiquette R° savon à barbe D90mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110120;Etiquette V° savon à barbe D79mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110121;Etiquettes R°V° shampoing fortifiant 52x100mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110122;Etiquettes R°V° shampoing anti pelliculaire 49x98m;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110123;Etiquettes R°V° shampoing cheveux gris 49x98m;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110124;Etiquette R° baume senteur vanille mangue D70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110125;Etiquette V° baume senteur vanille mangue D65mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110126;Etiquette R° baume senteur canne à sucre D70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110127;Etiquette V° baume senteur canne à sucre D65mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110128;Etiquette R° baume senteur sapin D70mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110129;Etiquette V° baume senteur sapin D65mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110130;Etiquette R° huile parfumée canne à sucre 5ml 20x25mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110131;Etiquette R° huile parfumée chocolat caramel 5ml 20x25mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110132;Etiquette R° huile parfumée sapin 5ml 20x25mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110133;Etiquette R° huile parfumée vanille mangue 5ml 20x25mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110134;Etiquette R°V° coffret huiles parfumées 5ml 105x75mm;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC0110501;Etiquette R° accélérateur de pousse 50x70mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110502;Etiquette R° sérum contour des yeux 35x30mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110503;Etiquette R° huile à barbe parfumée citron (pharmacie) 40x50mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110504;Etiquette R° elixir de barbe 40x50mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110505;Etiquette R° supreme balm D70mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110506;Etiquette R° sérum visage 40x50mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC0110507;Etiquette R° huile à barbe parfumée citron (amazon) 40x50mm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC011701;Etiquettes R°V° gel de rasage 500ml 85x90mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011702;Etiquettes R°V° gel de rasage 75ml 40x90mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011703;Etiquettes R°V° shampooing barbe 50x100mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011704;Etiquette R° savon à barbe D95mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011705;Etiquette V° savon à barbe D80mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011706;Etiquettes R°V° stimulateur de pousse 40x70mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011707;Etiquettes R°V° après rasage 40x90mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011708;Etiquettes R°V° huile fruitée 40x50mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011709;Etiquettes R°V° purifiant visage 40x90mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011710;Etiquettes R°V° huile luxuriante 40x50mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011711;Etiquettes R°V° huile authentique 40x50mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011712;Etiquettes R°V° huile sucrée 40x50mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011713;Etiquette R° baume sucrée D70mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011714;Etiquette V° baume sucrée D65mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011715;Etiquette R° baume intense D70mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011716;Etiquette V° baume intense D65mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011717;Etiquette R° baume fondant D70mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011718;Etiquette V° baume fondant D65mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011719;Etiquette R° baume fruité D70mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011720;Etiquette V° baume fruitée D65mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

EMETC011721;Etiquettes R°V° sérum anti fatigue 35x30mm;All / Clients France / B to B / Tendances coiffure / Cher Monsieur / Emballages / Etiquettes;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBTMTC0110101;Boite coffret noir huiles parfumées;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110102;Boite Elixir homme;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110103;Boite Huile de barbe classique;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110104;Boite Huile parfumée canne à sucre;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110105;Boite Huile parfumée chocolat;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110106;Boite Huile parfumée sapin;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110107;Boite Huile parfumée vanille mangue;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110108;Boite Huile premium ;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTMTC0110109;Boite Huile Luxury authentique parfum OUD;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBTBRC0110101;Boite Contour des yeux;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110102;Boite Huile de barbe BIO;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110103;Boite Sérum visage;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110104;Boite eau de cologne VAR;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110105;Boite eau de cologne VINTER;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110106;Boite eau de cologne HOST;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110107;Boite eau de cologne SOMMER;All / Clients France / B to B / Tendances coiffure / Man's Beard / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBTBRC0110501;Boite Accélérateur de pousse;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110502;Boite Sérum contour des yeux;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110503;Boite Huile à barbe parfumée;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110504;Boite Suprem balm;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110505;Boite Elixir de barbe;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110506;Boite Sérum sublimateur visage;All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

EMBTBRC0110507;Boite Huile de barbe parfumée citron (pharmacie);All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBTMRC0110501;Boite Huile de barbe parfumée citron (amazon);All / Clients France / B to B / Tendances coiffure / Barb'Attitude / Emballages / Boites;Tendance coiffure;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCCSC011601;Bouchon capsule shampoing PSO ;All / Clients France / B to B / Phytobiolab / Emballages / Bouchons / Capsule service;Phytobiolab;;;;;;;;;Article stockable;;

EMBCCSC011602;Bouchon capsule linibio ;All / Clients France / B to B / Phytobiolab / Emballages / Bouchons / Capsule service;Phytobiolab;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCVSC011601;Bouchon à vis flacon 60ml;All / Clients France / B to B / Phytobiolab / Emballages / Bouchons / A vis;Phytobiolab;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPPATC011601;Pompe flacon lait corps PSO 200ml;All / Clients France / B to B / Phytobiolab / Emballages / Pompes / Crème;Phytobiolab;;;;;;;;;Article stockable;;

EMPPATC011602;Pompe flacon gel lit ;All / Clients France / B to B / Phytobiolab / Emballages / Pompes / Crème;Phytobiolab;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFLATC011601;Flacon blanc lait corps PSO 200ml;All / Clients France / B to B / Phytobiolab / Emballages / Flacons;Phytobiolab;;;;;;;;;Article stockable;;

EMFLATC011602;Flacon blanc shampoing PSO 150ml;All / Clients France / B to B / Phytobiolab / Emballages / Flacons;Phytobiolab;;;;;;;;;Article stockable;;

EMFLATC011603;Flacon gel lit 30ml;All / Clients France / B to B / Phytobiolab / Emballages / Flacons;Phytobiolab;;;;;;;;;Article stockable;;

EMFLATC011604;Flacon bouteille ambré 60ml;All / Clients France / B to B / Phytobiolab / Emballages / Flacons;Phytobiolab;;;;;;;;;Article stockable;;

EMFLATC011605;Flacon linibio 125ml;All / Clients France / B to B / Phytobiolab / Emballages / Flacons;Phytobiolab;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC011601;Etiquette Lait corps PSO;All / Clients France / B to B / Phytobiolab / Emballages / Etiquettes;Phytobiolab;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMPPARC011801;Pompe airless 100ml blanc capot cristal;All / Clients France / B to B / Mathera / Emballages / Airless / Pompes;Mathera;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMBCCSC011801;Capsule pression blanc opaque ;All / Clients France / B to B / Mathera / Emballages / Bouchons / A pression;Mathera;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFLCAC011801;Flacon airless 100ml rond blanc brillant;All / Clients France / B to B / Mathera / Emballages / Airless / Containers;Mathera;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFLATC011801;Flacon PET transparent 125ml;All / Clients France / B to B / Mathera / Emballages / Flacons;Mathera;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMETC011801;Etiquettes R°V° crème de soin visage 50x70mm;All / Clients France / B to B / Mathera / Emballages / Etiquettes;Mathera;;;;;;;;;Article stockable;;

EMETC011802;Etiquettes R°V° shampooing ;All / Clients France / B to B / Mathera / Emballages / Etiquettes;Mathera;;;;;;;;;Article stockable;;

;;;;;;;;;;;;;;

EMFLATC010301;Flacon transparent gel nutri 100ml;All / Clients France / B to B / Qenoa / Emballages / Flacons ;Qenoa;;;;;;;;;Article stockable;;

